text,user_nickname,user_unique_id,user_profile,video_id,video_url,black_campaign
"berarti nggak cocok kak sama aja kalau pakai kayak produk dijual di indomaret kayak glad2glow atau wardah, daviena skincare bukan mengandung bahan bahaya tapi hanya overclaim arti overclaim itu melebihkan manfaat sama kandungan isinya, misalnya diproduk tertulis mengandung niacinamide 5 persen padahal di uji lab hanya 0,25 persen nah ini jadinya niacinamide yg fungsinya untu mencerahkan nggak ada efek dimuka kalau dipakai",halllo_inisayaa,halllo_inisayaa,https://www.tiktok.com/@halllo_inisayaa,7.44E+18,https://t.tiktok.com/i18n/share/video/7439657835165650232/?_d=egdcac634gj3c0&comment_author_id=7063757008239379483&mid=7439657809249127223&preview_pb=0&region=ID&share_comment_id=7462096456850244370&share_item_id=7439657835165650232&sharer_language=en&source=h5_t&u_code=0,tidak
aku pake daviena langsung beruntusan,LegendStoreBatam,legendstorebatam,https://www.tiktok.com/@legendstorebatam,7.44E+18,https://t.tiktok.com/i18n/share/video/7439657835165650232/?_d=egdcac634gj3c0&comment_author_id=7052649675870405659&mid=7439657809249127223&preview_pb=0&region=ID&share_comment_id=7444100410341901064&share_item_id=7439657835165650232&sharer_language=en&source=h5_t&u_code=0,ya
berrti daviena udh ga keluar lg kh,Mba Mba Kae,dvyasagita,https://www.tiktok.com/@dvyasagita,7.44E+18,https://t.tiktok.com/i18n/share/video/7439657835165650232/?_d=egdcac634gj3c0&comment_author_id=7428215810626290693&mid=7439657809249127223&preview_pb=0&region=ID&share_comment_id=7463575783543390983&share_item_id=7439657835165650232&sharer_language=en&source=h5_t&u_code=0,tidak
aku pake daviena kok panas banget sampe mukaku merah,Kulsum Ramadani,kulsum.ramadani,https://www.tiktok.com/@kulsum.ramadani,7.44E+18,https://t.tiktok.com/i18n/share/video/7439657835165650232/?_d=egdcac634gj3c0&comment_author_id=7329849770192159750&mid=7439657809249127223&preview_pb=0&region=ID&share_comment_id=7463765099661853448&share_item_id=7439657835165650232&sharer_language=en&source=h5_t&u_code=0,ya
Sempet heran koq bisa sekaya itu cuma jualan skin care,🌻BERLIAN🌻,berlian560,https://www.tiktok.com/@berlian560,7.44E+18,https://t.tiktok.com/i18n/share/video/7439657835165650232/?_d=egdcac634gj3c0&comment_author_id=6540960065314258955&mid=7439657809249127223&preview_pb=0&region=ID&share_comment_id=7454816745535931154&share_item_id=7439657835165650232&sharer_language=en&source=h5_t&u_code=0,ya
anak nya dia sekolah di tempat gw jirr di IgM,zinnn jagoan mamah,razinnihhbre_14u,https://www.tiktok.com/@razinnihhbre_14u,7.44E+18,https://t.tiktok.com/i18n/share/video/7439657835165650232/?_d=egdcac634gj3c0&comment_author_id=6982370685922460674&mid=7439657809249127223&preview_pb=0&region=ID&share_comment_id=7443501754384270135&share_item_id=7439657835165650232&sharer_language=en&source=h5_t&u_code=0,tidak
dari dl ak gak pernah tergiur skincare yg bikin putih dll.,Rhie2210,rhie2210,https://www.tiktok.com/@rhie2210,7.44E+18,https://t.tiktok.com/i18n/share/video/7439657835165650232/?_d=egdcac634gj3c0&comment_author_id=1690219481112577&mid=7439657809249127223&preview_pb=0&region=ID&share_comment_id=7461132355886498567&share_item_id=7439657835165650232&sharer_language=en&source=h5_t&u_code=0,tidak
"pernah pake yg acne series.. sekali doang tpi hbis itu udah gak lagi, alhamdulillah nya gaada efek smping cm gaada perubahan aja. krn krimnya ada yg hrus disimpan di kulkas jdi agak takut",Moonbeam,zettarius26,https://www.tiktok.com/@zettarius26,7.44E+18,https://t.tiktok.com/i18n/share/video/7439657835165650232/?_d=egdcac634gj3c0&comment_author_id=6710291070322869250&mid=7439657809249127223&preview_pb=0&region=ID&share_comment_id=7462872698571801361&share_item_id=7439657835165650232&sharer_language=en&source=h5_t&u_code=0,tidak
akubeli sekali ga kebeli lagii..mending beli beras,Ririsari🫒,user5177571025792,https://www.tiktok.com/@user5177571025792,7.44E+18,https://t.tiktok.com/i18n/share/video/7439657835165650232/?_d=egdcac634gj3c0&comment_author_id=7165843532366939141&mid=7439657809249127223&preview_pb=0&region=ID&share_comment_id=7464182659955491592&share_item_id=7439657835165650232&sharer_language=en&source=h5_t&u_code=0,tidak
"ga pernah coba, tapi sering banget dulu videonya seliweran di beranda",Naufaliia,naufaliia,https://www.tiktok.com/@naufaliia,7.44E+18,https://t.tiktok.com/i18n/share/video/7439657835165650232/?_d=egdcac634gj3c0&comment_author_id=6923838652221801474&mid=7439657809249127223&preview_pb=0&region=ID&share_comment_id=7454966339053093650&share_item_id=7439657835165650232&sharer_language=en&source=h5_t&u_code=0,tidak
Hati Hatii ..,phopho,dmphz,https://www.tiktok.com/@dmphz,7.44E+18,https://t.tiktok.com/i18n/share/video/7439657835165650232/?_d=egdcac634gj3c0&comment_author_id=7174023648049726466&mid=7439657809249127223&preview_pb=0&region=ID&share_comment_id=7461169915924497170&share_item_id=7439657835165650232&sharer_language=en&source=h5_t&u_code=0,ya
Aku hmpir ak mau nyoba🫠,Xixi.raara_,xixi.raara_,https://www.tiktok.com/@xixi.raara_,7.44E+18,https://t.tiktok.com/i18n/share/video/7439657835165650232/?_d=egdcac634gj3c0&comment_author_id=7115969915413546010&mid=7439657809249127223&preview_pb=0&region=ID&share_comment_id=7463387812965974790&share_item_id=7439657835165650232&sharer_language=en&source=h5_t&u_code=0,tidak
aku pake bodylotinya gak ngaruh sama sakali mana mahal😫,Din_Diana,_din_indriana.42,https://www.tiktok.com/@_din_indriana.42,7.44E+18,https://t.tiktok.com/i18n/share/video/7439657835165650232/?_d=egdcac634gj3c0&comment_author_id=6965878458828260353&mid=7439657809249127223&preview_pb=0&region=ID&share_comment_id=7460932853476705029&share_item_id=7439657835165650232&sharer_language=en&source=h5_t&u_code=0,ya
pake tetep g ada prubahan kusem bruntus kcil ksar,Pesona fashion 94,yuliantiuli.94,https://www.tiktok.com/@yuliantiuli.94,7.44E+18,https://t.tiktok.com/i18n/share/video/7439657835165650232/?_d=egdcac634gj3c0&comment_author_id=6568671459732013058&mid=7439657809249127223&preview_pb=0&region=ID&share_comment_id=7461040175633826568&share_item_id=7439657835165650232&sharer_language=en&source=h5_t&u_code=0,ya
pake skincare dr resep dokter aja,JOENIAR,joeniarsd,https://www.tiktok.com/@joeniarsd,7.44E+18,https://t.tiktok.com/i18n/share/video/7439657835165650232/?_d=egdcac634gj3c0&comment_author_id=6996574187021354011&mid=7439657809249127223&preview_pb=0&region=ID&share_comment_id=7461229132782945032&share_item_id=7439657835165650232&sharer_language=en&source=h5_t&u_code=0,ya
lansung jerawatan gw pake 1 minggu,ANGIN MAMIRI,anginribut123,https://www.tiktok.com/@anginribut123,7.44E+18,https://t.tiktok.com/i18n/share/video/7439657835165650232/?_d=egdcac634gj3c0&comment_author_id=7234359120291464194&mid=7439657809249127223&preview_pb=0&region=ID&share_comment_id=7457729551280390913&share_item_id=7439657835165650232&sharer_language=en&source=h5_t&u_code=0,ya
aku pke yang sepaket mahal mahal malah hasil nyah b ajah😭🙃,sippa,xcpeweee,https://www.tiktok.com/@xcpeweee,7.44E+18,https://t.tiktok.com/i18n/share/video/7439657835165650232/?_d=egdcac634gj3c0&comment_author_id=7220736460071207963&mid=7439657809249127223&preview_pb=0&region=ID&share_comment_id=7463531403050189575&share_item_id=7439657835165650232&sharer_language=en&source=h5_t&u_code=0,ya
dr awal saya tanya ttg SS kok bs cpt melejit ternyata mtk sama😂,sundaHadi,sundahadi1,https://www.tiktok.com/@sundahadi1,7.44E+18,https://t.tiktok.com/i18n/share/video/7439657835165650232/?_d=egdcac634gj3c0&comment_author_id=7277554746809730053&mid=7439657809249127223&preview_pb=0&region=ID&share_comment_id=7462353195891049233&share_item_id=7439657835165650232&sharer_language=en&source=h5_t&u_code=0,ya
Aqu udah habis 2 pot kak tapi ngak ada efek ngak ada perubahan,y,yffffghhcffg,https://www.tiktok.com/@yffffghhcffg,7.44E+18,https://t.tiktok.com/i18n/share/video/7439657835165650232/?_d=egdcac634gj3c0&comment_author_id=6624474693742346241&mid=7439657809249127223&preview_pb=0&region=ID&share_comment_id=7463118469472518919&share_item_id=7439657835165650232&sharer_language=en&source=h5_t&u_code=0,ya
Kaya mendadak,Rusdianto,rusd65,https://www.tiktok.com/@rusd65,7.44E+18,https://t.tiktok.com/i18n/share/video/7439657835165650232/?_d=egdcac634gj3c0&comment_author_id=6892259722905928705&mid=7439657809249127223&preview_pb=0&region=ID&share_comment_id=7463446307468247829&share_item_id=7439657835165650232&sharer_language=en&source=h5_t&u_code=0,ya
untung blm beli,TyasReza pupuk,ma2_ozzy,https://www.tiktok.com/@ma2_ozzy,7.44E+18,,ya
untung Belum pernah coba😂,putrirusdianti0123,putrirusdianti0123,https://www.tiktok.com/@putrirusdianti0123,7.44E+18,,ya
apa sekaramg dia duduk di dlm?,Yenie Rahman,yenierahmam,https://www.tiktok.com/@yenierahmam,7.44E+18,,tidak
🥰,irwan21,irwan21462,https://www.tiktok.com/@irwan21462,7.44E+18,,tidak
❤️,Natta Leya,natta_leya,https://www.tiktok.com/@natta_leya,7.44E+18,,tidak
🥰,april,prilia282,https://www.tiktok.com/@prilia282,7.44E+18,,tidak
😅,🪷💢'~ LuNa ~'💐🌊,lunakotapazuword,https://www.tiktok.com/@lunakotapazuword,7.44E+18,,tidak
😂,suara hati sukma,suara.hati.sukma,https://www.tiktok.com/@suara.hati.sukma,7.44E+18,,tidak
🥰🥰🥰,skidipaps,kikiyouwanabee,https://www.tiktok.com/@kikiyouwanabee,7.44E+18,,tidak
😂,Jasmine,rosalina_mesuri,https://www.tiktok.com/@rosalina_mesuri,7.44E+18,,tidak
